,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
new_indoor/images/Cone_37.jpg,35.0,49.0,37.0,41.0,40.0,30.0,44.0,21.0,50.0,22.0,49.0,32.0,50.0,43.0,48.0,53.0
new_indoor/images/Cone_14.jpg,35.0,49.0,35.0,43.0,35.0,35.0,36.0,28.0,39.0,28.0,41.0,34.0,43.0,41.0,45.0,47.0
new_indoor/images/Cone_19.jpg,,,,,,,,,,,,,,,,
new_indoor/images/Cone_15.jpg,,,,,,,,,,,,,,,,
new_indoor/images/Cone_18.jpg,,,,,,,,,,,,,,,,
new_indoor/images/Cone_41.jpg,35.0,52.0,37.0,42.0,38.0,33.0,41.0,24.0,45.0,24.0,46.0,33.0,48.0,43.0,49.0,52.0
new_indoor/images/Cone_51.jpg,,,,,,,,,,,,,,,,
new_indoor/images/Cone_27.jpg,36.0,47.0,37.0,42.0,38.0,34.0,40.0,29.0,43.0,29.0,43.0,35.0,44.0,42.0,44.0,48.0
new_indoor/images/Cone_31.jpg,33.0,50.0,35.0,41.0,37.0,32.0,38.0,23.0,43.0,23.0,44.0,32.0,45.0,42.0,46.0,50.0
new_indoor/images/Cone_22.jpg,36.0,46.0,36.0,40.0,39.0,34.0,40.0,27.0,43.0,27.0,43.0,33.0,44.0,40.0,44.0,47.0
new_indoor/images/Cone_13.jpg,37.0,47.0,38.0,42.0,40.0,35.0,41.0,30.0,44.0,30.0,45.0,34.0,46.0,42.0,46.0,47.0
new_indoor/images/Cone_2.jpg,36.0,48.0,37.0,42.0,39.0,35.0,41.0,30.0,43.0,30.0,44.0,35.0,45.0,43.0,45.0,48.0
new_indoor/images/Cone_25.jpg,,,,,,,,,,,,,,,,
new_indoor/images/Cone_20.jpg,,,,,,,,,,,,,,,,
new_indoor/images/Cone_39.jpg,,,,,,,,,,,,,,,,
new_indoor/images/Cone_47.jpg,33.0,48.0,37.0,41.0,42.0,32.0,46.0,27.0,49.0,28.0,48.0,34.0,48.0,44.0,47.0,52.0
new_indoor/images/Cone_40.jpg,,,,,,,,,,,,,,,,
new_indoor/images/Cone_44.jpg,,,,,,,,,,,,,,,,
new_indoor/images/Cone_28.jpg,37.0,47.0,37.0,42.0,39.0,36.0,41.0,32.0,43.0,32.0,43.0,36.0,44.0,42.0,44.0,48.0
new_indoor/images/Cone_24.jpg,37.0,46.0,38.0,41.0,40.0,33.0,41.0,27.0,44.0,27.0,44.0,33.0,46.0,41.0,46.0,47.0
new_indoor/images/Cone_48.jpg,,,,,,,,,,,,,,,,
new_indoor/images/Cone_8.jpg,27.0,60.0,30.0,49.0,30.0,29.0,32.0,11.0,42.0,10.0,44.0,27.0,48.0,45.0,53.0,61.0
new_indoor/images/Cone_50.jpg,,,,,,,,,,,,,,,,
new_indoor/images/Cone_36.jpg,,,,,,,,,,,,,,,,
new_indoor/images/Cone_42.jpg,,,,,,,,,,,,,,,,
new_indoor/images/Cone_5.jpg,36.0,49.0,38.0,42.0,41.0,33.0,45.0,26.0,48.0,26.0,47.0,34.0,47.0,44.0,47.0,52.0
new_indoor/images/Cone_21.jpg,,,,,,,,,,,,,,,,
new_indoor/images/Cone_26.jpg,37.0,48.0,38.0,43.0,40.0,37.0,41.0,32.0,43.0,32.0,43.0,37.0,44.0,43.0,44.0,48.0
new_indoor/images/Cone_29.jpg,,,,,,,,,,,,,,,,
