points/0/_label,points/0/_occluded,points/0/_source,points/0/_points,points/0/_z_order,points/1/_label,points/1/_occluded,points/1/_source,points/1/_points,points/1/_z_order,points/2/_label,points/2/_occluded,points/2/_source,points/2/_points,points/2/_z_order,points/3/_label,points/3/_occluded,points/3/_source,points/3/_points,points/3/_z_order,points/4/_label,points/4/_occluded,points/4/_source,points/4/_points,points/4/_z_order,points/5/_label,points/5/_occluded,points/5/_source,points/5/_points,points/5/_z_order,points/6/_label,points/6/_occluded,points/6/_source,points/6/_points,points/6/_z_order,points/7/_label,points/7/_occluded,points/7/_source,points/7/_points,points/7/_z_order,_id,_name,_width,_height
K2,0,manual,"28.40,44.75",0,K4,0,manual,"27.27,15.57",0,K1,0,manual,"28.80,56.15",0,K8,0,manual,"51.10,51.20",0,K3,0,manual,"27.50,30.10",0,K6,0,manual,"39.70,26.50",0,K7,0,manual,"46.10,40.00",0,K5,0,manual,"34.90,13.65",0,436,Cone_99.jpg,80,80
K8,0,manual,"46.93,49.39",0,K6,0,manual,"42.24,32.89",0,K7,0,manual,"44.74,41.05",0,K5,0,manual,"38.70,23.15",0,K3,0,manual,"33.38,33.75",0,K2,0,manual,"32.40,42.65",0,K4,0,manual,"33.99,23.77",0,K1,0,manual,"32.10,51.45",0,435,Cone_98.jpg,80,80
K1,0,manual,"31.80,52.35",0,K2,0,manual,"31.40,44.00",0,K5,0,manual,"34.60,19.25",0,K6,0,manual,"39.61,29.74",0,K4,0,manual,"30.60,20.80",0,K8,0,manual,"49.76,47.84",0,K3,0,manual,"30.88,32.25",0,K7,0,manual,"45.53,39.47",0,434,Cone_97.jpg,80,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433,Cone_96.jpg,80,80
K6,0,manual,"45.39,33.03",0,K3,0,manual,"39.00,32.50",0,K7,0,manual,"46.18,40.00",0,K5,0,manual,"44.40,26.10",0,K8,0,manual,"46.40,45.44",0,K4,0,manual,"40.86,26.01",0,K2,0,manual,"37.30,39.65",0,K1,0,manual,"36.00,44.95",0,432,Cone_95.jpg,80,80
K2,0,manual,"36.20,42.65",0,K4,0,manual,"41.66,26.01",0,K1,0,manual,"33.40,48.75",0,K3,0,manual,"38.62,34.50",0,K5,0,manual,"46.00,26.95",0,K7,0,manual,"45.50,43.40",0,K6,0,manual,"45.39,36.18",0,K8,0,manual,"46.83,51.95",0,431,Cone_94.jpg,80,80
K6,0,manual,"42.76,33.16",0,K8,0,manual,"48.96,53.12",0,K5,0,manual,"40.30,20.95",0,K7,0,manual,"45.92,42.11",0,K3,0,manual,"34.00,33.38",0,K1,0,manual,"31.30,53.95",0,K2,0,manual,"33.20,43.65",0,K4,0,manual,"34.53,21.25",0,430,Cone_93.jpg,80,80
K2,0,manual,"28.20,46.50",0,K1,0,manual,"26.80,60.65",0,K4,0,manual,"27.66,16.51",0,K3,0,manual,"28.00,32.88",0,K5,0,manual,"34.10,15.65",0,K6,0,manual,"40.00,30.92",0,K8,0,manual,"50.77,55.89",0,K7,0,manual,"44.74,42.89",0,429,Cone_92.jpg,80,80
K5,0,manual,"31.80,0.35",0,K3,0,manual,"20.38,24.50",0,K6,0,manual,"38.55,21.05",0,K8,0,manual,"56.32,60.05",0,K7,0,manual,"46.45,40.79",0,K4,0,manual,"19.33,0.92",0,K1,0,manual,"19.70,68.35",0,K2,0,manual,"20.90,46.95",0,428,Cone_91.jpg,80,80
K4,0,manual,"31.21,19.79",0,K1,0,manual,"32.10,53.15",0,K2,0,manual,"32.30,43.00",0,K5,0,manual,"36.50,18.45",0,K7,0,manual,"45.79,39.08",0,K8,0,manual,"48.59,47.95",0,K3,0,manual,"31.75,31.62",0,K6,0,manual,"41.32,28.68",0,427,Cone_90.jpg,80,80
K2,0,manual,"37.50,35.70",0,K1,0,manual,"36.30,42.55",0,K3,0,manual,"39.50,29.50",0,K7,0,manual,"46.32,35.92",0,K6,0,manual,"45.26,29.74",0,K5,0,manual,"43.80,23.05",0,K8,0,manual,"46.56,43.15",0,K4,0,manual,"41.00,22.98",0,426,Cone_9.jpg,80,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425,Cone_89.jpg,80,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424,Cone_88.jpg,80,80
K3,0,manual,"33.12,33.62",0,K7,0,manual,"45.79,43.29",0,K6,0,manual,"43.68,33.16",0,K8,0,manual,"49.17,53.23",0,K5,0,manual,"39.90,20.10",0,K1,0,manual,"30.40,54.95",0,K4,0,manual,"33.99,20.59",0,K2,0,manual,"32.00,44.25",0,423,Cone_87.jpg,80,80
