_id,_name,_width,_height,points/0/_label,points/0/_occluded,points/0/_source,points/0/_points,points/0/_z_order,points/1/_label,points/1/_occluded,points/1/_source,points/1/_points,points/1/_z_order,points/2/_label,points/2/_occluded,points/2/_source,points/2/_points,points/2/_z_order,points/3/_label,points/3/_occluded,points/3/_source,points/3/_points,points/3/_z_order,points/4/_label,points/4/_occluded,points/4/_source,points/4/_points,points/4/_z_order,points/5/_label,points/5/_occluded,points/5/_source,points/5/_points,points/5/_z_order,points/6/_label,points/6/_occluded,points/6/_source,points/6/_points,points/6/_z_order,points/7/_label,points/7/_occluded,points/7/_source,points/7/_points,points/7/_z_order
309,Cone_377.jpg,80,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,Cone_376.jpg,80,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,Cone_375.jpg,80,80,K1,0,manual,"30.90,56.20",0,K8,0,manual,"48.45,51.54",0,K5,0,manual,"34.21,21.05",0,K4,0,manual,"29.34,22.24",0,K3,0,manual,"30.19,34.88",0,K7,0,manual,"43.83,42.56",0,K6,0,manual,"39.08,32.48",0,K2,0,manual,"30.60,46.10",0
306,Cone_374.jpg,80,80,K7,0,manual,"45.68,41.77",0,K5,0,manual,"34.20,11.50",0,K3,0,manual,"27.30,30.30",0,K2,0,manual,"27.30,45.70",0,K6,0,manual,"39.47,27.33",0,K8,0,manual,"51.09,54.18",0,K4,0,manual,"25.79,13.55",0,K1,0,manual,"27.00,61.90",0
305,Cone_373.jpg,80,80,K6,0,manual,"39.60,32.21",0,K2,0,manual,"32.80,41.90",0,K5,0,manual,"37.37,24.21",0,K4,0,manual,"33.42,24.74",0,K8,0,manual,"45.81,47.31",0,K1,0,manual,"32.30,49.10",0,K3,0,manual,"33.39,33.49",0,K7,0,manual,"43.43,41.11",0
304,Cone_372.jpg,80,80,K4,0,manual,"36.32,11.05",0,K8,0,manual,"53.20,59.20",0,K1,0,manual,"28.50,58.00",0,K5,0,manual,"44.87,10.79",0,K3,0,manual,"34.24,28.59",0,K2,0,manual,"30.90,42.90",0,K7,0,manual,"50.20,44.40",0,K6,0,manual,"46.86,29.04",0
303,Cone_371.jpg,80,80,K7,0,manual,"46.21,40.05",0,K3,0,manual,"22.19,25.71",0,K6,0,manual,"37.89,21.52",0,K2,0,manual,"22.30,45.90",0,K1,0,manual,"22.30,67.40",0,K4,0,manual,"19.74,3.68",0,K8,0,manual,"55.05,57.61",0,K5,0,manual,"30.92,0.79",0
302,Cone_370.jpg,80,80,K2,0,manual,"32.80,43.90",0,K5,0,manual,"35.10,21.10",0,K6,0,manual,"40.00,31.16",0,K1,0,manual,"32.50,54.00",0,K4,0,manual,"30.79,22.50",0,K8,0,manual,"49.77,48.50",0,K7,0,manual,"44.49,40.32",0,K3,0,manual,"32.21,33.81",0
301,Cone_37.jpg,80,80,K1,0,manual,"34.50,47.80",0,K8,0,manual,"48.60,50.90",0,K7,0,manual,"48.05,43.09",0,K3,0,manual,"40.75,32.00",0,K2,0,manual,"37.40,40.30",0,K6,0,manual,"47.80,33.40",0,K5,0,manual,"46.70,24.70",0,K4,0,manual,"43.20,23.90",0
300,Cone_369.jpg,80,80,K3,0,manual,"30.83,33.17",0,K7,0,manual,"46.07,41.90",0,K6,0,manual,"41.06,30.23",0,K5,0,manual,"35.70,17.50",0,K2,0,manual,"30.50,46.00",0,K1,0,manual,"31.00,58.50",0,K8,0,manual,"51.62,52.99",0,K4,0,manual,"29.74,18.95",0
299,Cone_368.jpg,80,80,K5,0,manual,"32.40,2.80",0,K2,0,manual,"25.00,45.90",0,K6,0,manual,"40.13,21.12",0,K8,0,manual,"55.71,56.42",0,K1,0,manual,"25.00,63.80",0,K4,0,manual,"23.82,4.74",0,K3,0,manual,"24.53,24.96",0,K7,0,manual,"48.45,39.92",0
