points/0/_label,points/0/_occluded,points/0/_source,points/0/_points,points/0/_z_order,points/1/_label,points/1/_occluded,points/1/_source,points/1/_points,points/1/_z_order,points/2/_label,points/2/_occluded,points/2/_source,points/2/_points,points/2/_z_order,points/3/_label,points/3/_occluded,points/3/_source,points/3/_points,points/3/_z_order,points/4/_label,points/4/_occluded,points/4/_source,points/4/_points,points/4/_z_order,points/5/_label,points/5/_occluded,points/5/_source,points/5/_points,points/5/_z_order,points/6/_label,points/6/_occluded,points/6/_source,points/6/_points,points/6/_z_order,points/7/_label,points/7/_occluded,points/7/_source,points/7/_points,points/7/_z_order,_id,_name,_width,_height
K3,0,manual,"35.40,37.10",0,K7,0,manual,"46.00,44.45",0,K6,0,manual,"44.60,36.55",0,K4,0,manual,"37.70,27.65",0,K2,0,manual,"33.50,45.00",0,K5,0,manual,"42.50,27.15",0,K8,0,manual,"47.30,53.05",0,K1,0,manual,"30.50,53.00",0,158,Cone_99.jpg,80,80
K5,0,manual,"44.80,24.55",0,K2,0,manual,"32.90,43.50",0,K8,0,manual,"49.20,52.65",0,K1,0,manual,"30.10,51.60",0,K6,0,manual,"47.20,34.75",0,K4,0,manual,"38.90,24.55",0,K7,0,manual,"48.30,43.95",0,K3,0,manual,"36.10,34.30",0,157,Cone_98.jpg,80,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,Cone_97.jpg,61,80
K7,0,manual,"43.00,34.35",0,K4,0,manual,"28.70,11.25",0,K6,0,manual,"40.30,23.25",0,K2,0,manual,"27.40,36.30",0,K3,0,manual,"27.70,24.80",0,K5,0,manual,"35.90,10.95",0,K8,0,manual,"56.00,62.25",0,K1,0,manual,"26.00,64.40",0,155,Cone_96.jpg,80,80
K8,0,manual,"52.60,57.25",0,K2,0,manual,"28.90,46.10",0,K5,0,manual,"41.90,20.75",0,K1,0,manual,"26.40,57.40",0,K3,0,manual,"31.90,34.10",0,K6,0,manual,"44.60,34.00",0,K4,0,manual,"33.90,20.85",0,K7,0,manual,"48.10,45.45",0,154,Cone_95.jpg,80,80
K1,0,manual,"29.50,53.20",0,K8,0,manual,"49.90,53.55",0,K2,0,manual,"32.40,43.70",0,K5,0,manual,"43.40,23.45",0,K6,0,manual,"44.80,33.95",0,K4,0,manual,"37.10,23.75",0,K7,0,manual,"47.20,43.45",0,K3,0,manual,"35.00,34.10",0,153,Cone_94.jpg,80,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,Cone_93.jpg,80,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,Cone_92.jpg,80,80
K2,0,manual,"31.30,51.30",0,K6,0,manual,"42.40,28.55",0,K7,0,manual,"47.90,50.55",0,K4,0,manual,"36.70,21.15",0,K1,0,manual,"30.10,53.90",0,K5,0,manual,"41.80,21.05",0,K3,0,manual,"35.70,29.20",0,K8,0,manual,"48.50,53.75",0,150,Cone_91.jpg,80,80
K1,0,manual,"32.30,51.20",0,K3,0,manual,"37.30,39.00",0,K8,0,manual,"46.20,53.25",0,K2,0,manual,"34.80,45.00",0,K5,0,manual,"45.60,31.35",0,K6,0,manual,"45.70,39.45",0,K4,0,manual,"39.70,31.15",0,K7,0,manual,"45.60,45.75",0,149,Cone_90.jpg,80,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,Cone_9.jpg,80,80
K4,0,manual,"34.20,15.65",0,K1,0,manual,"24.90,70.90",0,K2,0,manual,"25.90,65.80",0,K7,0,manual,"53.40,65.85",0,K6,0,manual,"44.70,27.05",0,K3,0,manual,"32.50,27.70",0,K5,0,manual,"43.30,15.55",0,K8,0,manual,"54.40,70.25",0,147,Cone_89.jpg,80,80
K5,0,manual,"42.80,30.15",0,K3,0,manual,"36.00,38.10",0,K8,0,manual,"47.20,53.20",0,K2,0,manual,"33.80,45.00",0,K1,0,manual,"32.00,52.60",0,K6,0,manual,"44.00,38.50",0,K4,0,manual,"37.90,30.45",0,K7,0,manual,"45.00,45.05",0,146,Cone_88.jpg,80,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,Cone_87.jpg,80,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,Cone_86.jpg,80,80
K6,0,manual,"45.90,38.15",0,K4,0,manual,"39.10,30.25",0,K7,0,manual,"46.40,45.05",0,K8,0,manual,"47.70,52.55",0,K3,0,manual,"37.30,37.60",0,K2,0,manual,"34.60,45.00",0,K1,0,manual,"32.30,51.30",0,K5,0,manual,"44.50,30.75",0,143,Cone_85.jpg,80,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,Cone_84.jpg,80,80
