points/0/_label,points/0/_occluded,points/0/_source,points/0/_points,points/0/_z_order,points/1/_label,points/1/_occluded,points/1/_source,points/1/_points,points/1/_z_order,points/2/_label,points/2/_occluded,points/2/_source,points/2/_points,points/2/_z_order,points/3/_label,points/3/_occluded,points/3/_source,points/3/_points,points/3/_z_order,points/4/_label,points/4/_occluded,points/4/_source,points/4/_points,points/4/_z_order,points/5/_label,points/5/_occluded,points/5/_source,points/5/_points,points/5/_z_order,points/6/_label,points/6/_occluded,points/6/_source,points/6/_points,points/6/_z_order,points/7/_label,points/7/_occluded,points/7/_source,points/7/_points,points/7/_z_order,_id,_name,_width,_height
K2,0,manual,"33.10,42.15",0,K1,0,manual,"30.20,50.75",0,K4,0,manual,"37.40,19.65",0,K8,0,manual,"48.00,53.65",0,K6,0,manual,"45.20,29.95",0,K5,0,manual,"43.10,19.45",0,K7,0,manual,"45.90,41.85",0,K3,0,manual,"35.10,29.45",0,142,Cone_99.jpg,80,80
K3,0,manual,"34.70,34.15",0,K6,0,manual,"44.30,33.65",0,K5,0,manual,"42.00,21.75",0,K7,0,manual,"45.60,42.95",0,K8,0,manual,"48.30,54.05",0,K1,0,manual,"30.60,53.95",0,K2,0,manual,"32.80,43.85",0,K4,0,manual,"36.80,21.95",0,141,Cone_98.jpg,80,80
K1,0,manual,"31.40,54.25",0,K2,0,manual,"34.70,43.65",0,K6,0,manual,"44.60,34.15",0,K8,0,manual,"48.30,54.45",0,K5,0,manual,"44.00,22.25",0,K4,0,manual,"37.30,22.50",0,K7,0,manual,"46.30,43.35",0,K3,0,manual,"36.60,34.35",0,140,Cone_97.jpg,80,80
K3,0,manual,"35.90,29.45",0,K8,0,manual,"46.60,49.55",0,K7,0,manual,"44.90,40.75",0,K2,0,manual,"33.50,41.15",0,K5,0,manual,"44.30,21.25",0,K6,0,manual,"43.70,29.95",0,K4,0,manual,"37.80,21.55",0,K1,0,manual,"31.60,47.95",0,139,Cone_96.jpg,80,80
K1,0,manual,"30.20,52.85",0,K4,0,manual,"39.00,19.95",0,K5,0,manual,"45.70,20.05",0,K2,0,manual,"33.80,42.65",0,K6,0,manual,"46.20,32.15",0,K8,0,manual,"49.70,53.75",0,K3,0,manual,"36.00,32.25",0,K7,0,manual,"47.80,42.65",0,138,Cone_95.jpg,80,80
K2,0,manual,"34.60,40.35",0,K3,0,manual,"36.90,30.95",0,K6,0,manual,"44.20,32.45",0,K5,0,manual,"44.40,24.05",0,K8,0,manual,"44.50,48.15",0,K7,0,manual,"44.40,41.45",0,K1,0,manual,"32.30,45.95",0,K4,0,manual,"39.30,23.05",0,137,Cone_94.jpg,80,80
K1,0,manual,"31.30,51.95",0,K4,0,manual,"39.80,23.55",0,K7,0,manual,"45.80,43.45",0,K6,0,manual,"45.40,34.55",0,K5,0,manual,"45.20,23.75",0,K3,0,manual,"36.90,33.75",0,K2,0,manual,"34.10,42.75",0,K8,0,manual,"46.40,53.65",0,136,Cone_93.jpg,80,80
K4,0,manual,"39.40,35.70",0,K7,0,manual,"43.80,45.65",0,K3,0,manual,"37.90,40.95",0,K5,0,manual,"42.90,35.75",0,K6,0,manual,"43.20,41.05",0,K8,0,manual,"44.20,50.25",0,K2,0,manual,"36.80,45.85",0,K1,0,manual,"35.80,50.35",0,135,Cone_92.jpg,80,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,Cone_91.jpg,80,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,Cone_90.jpg,80,80
